"ID","origin","technique","requirement/SEC reference","title","priority","preconditions","test data","request","execution steps","expected status","expected headers/schema/body","expected side effect","cleanup","actual result","PASS/FAIL","AI audit verdict","audit reasoning","bug ID","evidence link"
"CPN-AI-001","AI-generated","Decision table R1 + exact schema","FR-09 C1-C5","Apply active eligible coupon when all five conditions are true","P0","Reset SQLite; SAVE10 active/unexpired; user 2 authenticated; usage 0","code=SAVE10,total_amount=500000,user_id=2; valid user JWT","POST /api/apply-coupon JSON","Login user; send request; assert formula/schema; verify usage unchanged","200","JSON exact keys success=true,coupon_id:int,discount_amount:number,final_amount:number,message:string; no extras","No coupon/user/order mutation and no usage row from apply alone","Reset SQLite","Not executed","","","","",""
"CPN-AI-002","AI-generated","Decision table R2","FR-09 C1","Reject coupon code that does not exist","P0","Authenticated user; code confirmed absent","code=HW06_NOT_FOUND,total_amount=500000,user_id=2","POST /api/apply-coupon with user JWT","Send; inspect error schema; verify usage/coupon state unchanged","404","application/json; exact error:string; no success fields/internal detail","No usage or coupon mutation","None/reset if dirty","Not executed","","","","",""
"CPN-AI-003","AI-generated","Decision table R3","FR-09 C1","Reject existing but disabled coupon","P0","Controlled fixture coupon exists with is_active=0; user authenticated","disabled code,total above minimum,user_id=2","POST /api/apply-coupon with user JWT","Prepare disabled fixture; send; inspect response; verify state","404","JSON error only; no discount fields","No usage; disabled coupon remains disabled","Remove fixture/reset SQLite","Not executed","","","","",""
"CPN-AI-004","AI-generated","Decision table R4","FR-09 C2","Reject expired active coupon","P0","EXPIRED seed active but expired; user authenticated; usage below max","code=EXPIRED,total_amount=200000,user_id=2","POST /api/apply-coupon with user JWT","Send; assert expired rejection and no usage","400","JSON error only; no success/calculation fields","No usage or coupon mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-005","AI-generated","Decision table R5","FR-09 C3","Reject eligible coupon when amount is clearly below minimum","P0","SAVE10 active/unexpired; user authenticated; usage 0","code=SAVE10,total_amount=100000,user_id=2","POST /api/apply-coupon with user JWT","Send; assert insufficient-order error; verify no usage","400","JSON error only","No usage or coupon mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-006","AI-generated","Decision table R6","FR-09 C4, SEC-02","Reject otherwise eligible coupon when JWT is missing","P0","SAVE10 active/unexpired; usage 0","code=SAVE10,total_amount=500000,user_id=2; no Authorization","POST /api/apply-coupon without JWT","Send; assert auth rejection occurs before calculation; verify no usage","401","JSON error only; no coupon/calculation data","No usage or coupon mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-007","AI-generated","Decision table R7","FR-09 C5","Reject coupon when authenticated user reached usage limit","P0","SAVE10 usage count for user 2 equals max 1; JWT valid","code=SAVE10,total_amount=500000,user_id=2","POST /api/apply-coupon with same user JWT","Send; assert limit error; verify count unchanged","400 or 409 (spec gap)","JSON error only; no success fields","Usage remains at max; no extra usage/order mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-008","AI-generated","Decision table R8 / precedence","FR-09 C1-C5, SEC-02","Reject all-false combination at authentication boundary without leaking coupon state","P0","No valid JWT; nonexistent code; below-min amount; tampered user_id","code=NOPE,total_amount=0,user_id=999999; no JWT","POST /api/apply-coupon","Send; verify auth-first rejection and no code existence disclosure","401","JSON auth error only; no indication whether coupon exists","No usage/coupon/user mutation","None","Not executed","","","","",""
"CPN-AI-009","AI-generated","BVA lower boundary percent","FR-09 C3","Reject SAVE10 at min_order_amount minus one","P0","SAVE10 minimum=300000; user authenticated; usage 0","total_amount=299999","POST apply SAVE10 for user 2","Send; assert boundary rejection; verify no usage","400","JSON error only","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-010","AI-generated","BVA inclusive boundary percent","FR-09 C3","Accept SAVE10 at exactly min_order_amount","P0","SAVE10 minimum=300000; user authenticated; usage 0","total_amount=300000","POST apply SAVE10 for user 2","Send; assert success and exact calculation","200","JSON exact success schema; discount_amount=30000; final_amount=270000","Apply only calculates; usage remains 0","Reset SQLite","Not executed","","","","",""
"CPN-AI-011","AI-generated","BVA upper neighbor percent","FR-09 C3","Accept SAVE10 at min_order_amount plus one","P0","SAVE10 minimum=300000; user authenticated; usage 0","total_amount=300001","POST apply SAVE10 for user 2","Send; assert success/formula without invented rounding","200","JSON success; discount_amount=30000.1; final_amount=270000.9","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-012","AI-generated","BVA lower boundary fixed","FR-09 C3","Reject BIGBUY at minimum minus one","P1","BIGBUY minimum=500000; user authenticated; usage 0","total_amount=499999","POST apply BIGBUY","Send; assert rejection; verify no usage","400","JSON error only","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-013","AI-generated","BVA inclusive boundary fixed","FR-09 C3","Accept BIGBUY at exactly its minimum","P0","BIGBUY minimum=500000; user authenticated; usage 0","total_amount=500000","POST apply BIGBUY","Send; assert fixed calculation/schema","200","JSON success; discount_amount=50000; final_amount=450000","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-014","AI-generated","BVA upper neighbor fixed","FR-09 C3","Accept BIGBUY at minimum plus one","P1","BIGBUY minimum=500000; user authenticated; usage 0","total_amount=500001","POST apply BIGBUY","Send; assert fixed calculation","200","JSON success; discount_amount=50000; final_amount=450001","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-015","AI-generated","Calculation EP percent","FR-09 formula","Calculate ten-percent discount on an evenly divisible amount","P0","SAVE10 eligible; authenticated user; usage 0","total_amount=800000","POST apply SAVE10","Send; recompute independently; compare fields","200","JSON success; discount_amount=80000; final_amount=720000","No usage mutation","Reset SQLite","Not executed","","","","",""
