ID,Screen,IA,Category,Check,Requirement or Heuristic Source,Preconditions,Test Steps,Expected Result,Status,Actual Result,Notes,Evidence,Bug ID or GitHub Issue
GUI-L-001,Login,IA-01,Content,Page title identifies the Login screen,Nielsen H1/H4/H8; FR-21–FR-24 — https://www.nngroup.com/articles/ten-usability-heuristics/,Logged out; open /login,Inspect visible page title and document heading,PASS if exactly one h1 identifies the page as Đăng nhập; otherwise FAIL,Failed,"Found 0 h1 elements; visible h2 text is ""Đăng Ký"".",Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-L-001.png,BUG-GUI-001 — https://github.com/ThanhDang-Vn/software-testing/issues/18
GUI-L-002,Login,IA-01,Language consistency,All labels and actions use consistent Vietnamese,Nielsen H2/H4; WCAG 2.2 SC 3.1.1 — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/WCAG22/Understanding/,Login page open,"Read heading, labels, links, and submit action",PASS if uI is consistently Vietnamese except accepted technical terms; otherwise FAIL,Failed,"Mixed-language labels are visible: ""Username"" and ""Sign In"".",Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-L-002.png,BUG-GUI-001 — https://github.com/ThanhDang-Vn/software-testing/issues/18
GUI-L-003,Login,IA-01,Layout,Login card is visually aligned and does not overlap,Nielsen H1/H4/H8; FR-21–FR-24 — https://www.nngroup.com/articles/ten-usability-heuristics/,Desktop viewport,"Inspect card, fields, links, and footer",PASS if all elements align with adequate spacing and no overlap; otherwise FAIL,Passed,No overlap detected in the desktop Login card.,Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-L-004,Login,IA-01,Responsive,Login remains usable at 320 px width,"WCAG 2.2 SC 1.4.4, 1.4.10 — https://www.w3.org/WAI/WCAG22/Understanding/",Set viewport to 320×640,Inspect and operate the complete form,PASS if no clipping or horizontal page scroll; targets remain usable; otherwise FAIL,Passed,No horizontal overflow at 320 px (320/320).,Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-L-005,Login,IA-01,Contrast,"Text, links, borders, and button meet WCAG AA contrast","WCAG 2.2 SC 1.4.1, 1.4.3, 1.4.11 — https://www.w3.org/WAI/WCAG22/Understanding/",Login page open,Measure key foreground/background combinations,PASS if normal text ≥4.5:1 and meaningful UI components ≥3:1; otherwise FAIL,Failed,"The light-blue “Quên mật khẩu?” link (#3B82F6 on white) is approximately 3.68:1, below WCAG AA 4.5:1 for normal text.",Computed-color contrast measurement in Chromium.,failed-screenshots/GUI-L-005.png,BUG-GUI-002 — https://github.com/ThanhDang-Vn/software-testing/issues/19
GUI-L-006,Login,IA-01,Target size,Interactive controls have usable pointer targets,WCAG 2.2 SC 2.5.8 — https://www.w3.org/WAI/WCAG22/Understanding/,Login page open,"Measure fields, links, and submit target areas",PASS if primary controls are at least 44×44 CSS px or equivalently usable; otherwise FAIL,Failed,Targets below 44×44: EShop 70×32; Giỏ hàng 64×24; Đăng nhập 78×24; Đăng ký 58×24; INPUT 382×42; INPUT 382×42; Quên mật khẩu? 102×19; Sign In 382×40; Đăng ký ngay 85×19.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-L-006.png,BUG-GUI-002 — https://github.com/ThanhDang-Vn/software-testing/issues/19
GUI-L-007,Login,IA-02,Email type,Email control uses native email semantics,"WCAG 2.2 SC 1.3.1, 2.4.6, 3.3.2; WAI Forms — https://www.w3.org/WAI/tutorials/forms/labels/",Login page open,Inspect control semantics and enter malformed email,PASS if input type is email and native validation rejects malformed format; otherwise FAIL,Failed,"Email/Username control uses type=""text"".",Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-L-007.png,BUG-GUI-003 — https://github.com/ThanhDang-Vn/software-testing/issues/20
GUI-L-008,Login,IA-02,GUI / Visual,Password value is concealed,Nielsen H1/H4/H8; FR-21–FR-24 — https://www.nngroup.com/articles/ten-usability-heuristics/,Login page open,Type a password and observe its rendering,PASS if control uses password type and characters are masked; otherwise FAIL,Failed,"Password control uses type=""text"" and exposes the entered value.",Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-L-008.png,BUG-GUI-003 — https://github.com/ThanhDang-Vn/software-testing/issues/20
GUI-L-009,Login,IA-02,Required indicators,Required fields show an asterisk beside the label,"WCAG 2.2 SC 1.3.1, 2.4.6, 3.3.2; WAI Forms — https://www.w3.org/WAI/tutorials/forms/labels/",Login page open,Inspect Email and Password labels,PASS if both mandatory labels include a visible required marker; otherwise FAIL,Failed,Required markers are absent from labels: Username | Mật khẩu.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-L-009.png,BUG-GUI-004 — https://github.com/ThanhDang-Vn/software-testing/issues/21
GUI-L-010,Login,IA-02,Label association,Labels are programmatically associated with inputs,"WCAG 2.2 SC 1.3.1, 2.4.6, 3.3.2; WAI Forms — https://www.w3.org/WAI/tutorials/forms/labels/",Login page open,Click labels and inspect accessible names,PASS if each label focuses its input and supplies the accessible name; otherwise FAIL,Failed,Login labels have no for/id association and do not wrap their inputs.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-L-010.png,BUG-GUI-004 — https://github.com/ThanhDang-Vn/software-testing/issues/21
