"ID","origin","technique","requirement/SEC reference","title","priority","preconditions","test data","request","execution steps","expected status","expected headers/schema/body","expected side effect","cleanup","actual result","PASS/FAIL","AI audit verdict","audit reasoning","bug ID","evidence link"
"REG-AI-001","AI-generated","EP + exact schema","FR-01","Register valid account and validate exact success schema","P0","SQLite reset; unique email absent","name=Nguyen Van A; email={{generatedEmail}}; password=Valid123!; confirm_password=Valid123!","POST /api/register JSON valid","1 Generate unique email; 2 Send request; 3 inspect raw response; 4 query admin users; 5 login new account","200","Content-Type application/json; exact keys message:string and id:positive integer; no extra/sensitive fields","Exactly one normal user is created; login succeeds","Delete returned user ID","Not executed","","","","",""
"REG-AI-002","AI-generated","BVA","FR-01","Accept minimum non-empty name boundary","P1","Unique email absent","name=A; unique valid email; valid matching passwords","POST /api/register with one-character name","Send request; inspect response; verify persisted name exactly A","200","JSON; exact success schema {message,id}","One user created with name A","Delete returned user ID","Not executed","","","","",""
"REG-AI-003","AI-generated","EP / Unicode","FR-01, SEC-04","Accept valid Unicode name without corruption","P1","Unique email absent","name=Nguyễn Ánh 🌱; unique valid email; valid matching passwords","POST /api/register with Unicode name","Send; inspect schema; retrieve through admin users endpoint; compare code points","200","JSON; exact success schema; no password/token","One user created; name round-trips unchanged and must be escaped by any UI","Delete returned user ID","Not executed","","","","",""
"REG-AI-004","AI-generated","EP required-field omission","FR-01","Reject missing name","P0","Unique email absent","email valid; password and confirmation valid; name omitted","POST /api/register without name","Send; inspect error; verify email absent","400","JSON; exact error schema {error:string}; no id/message/password/stack","No user created","None; delete unexpected row/reset","Not executed","","","","",""
"REG-AI-005","AI-generated","EP null","FR-01","Reject null name","P1","Unique email absent","name=null; remaining fields valid","POST /api/register with null name","Send; inspect error; verify email absent","400","JSON error only; no sensitive/internal fields","No user created","None; delete unexpected row/reset","Not executed","","","","",""
"REG-AI-006","AI-generated","EP type","FR-01","Reject non-string name","P1","Unique email absent","name=12345; remaining fields valid","POST /api/register with numeric name","Send; inspect error; verify email absent","400","JSON error only","No user created or implicit numeric-to-string persistence","None; delete unexpected row/reset","Not executed","","","","",""
"REG-AI-007","AI-generated","BVA empty","FR-01","Reject empty name","P0","Unique email absent","name=""""; remaining fields valid","POST /api/register with empty name","Send; inspect error; verify email absent","400","JSON error only","No user created","None; delete unexpected row/reset","Not executed","","","","",""
"REG-AI-008","AI-generated","EP whitespace","FR-01","Reject whitespace-only name","P1","Unique email absent","name=""   ""; remaining fields valid","POST /api/register with whitespace-only name","Send; inspect error; verify email absent","400","JSON error only","No user created","None; delete unexpected row/reset","Not executed","","","","",""
"REG-AI-009","AI-generated","SEC-05 parameterization","SEC-05, FR-01","Treat SQL metacharacters in name as literal data","P0","Unique email absent; seed users counted","name=""Robert'); DROP TABLE users;--""; remaining fields valid","POST /api/register with SQL payload in name","Send; inspect success; retrieve created user; verify seed users/login still work","200","JSON exact success schema; no SQL error/detail","One user created with literal name; users table and seed accounts unchanged","Delete returned user ID","Not executed","","","","",""
"REG-AI-010","AI-generated","Stored-XSS candidate","SEC-04, FR-01","Persist name safely without proving XSS from API acceptance alone","P1","Unique email absent; admin UI available for verification","name=<img src=x onerror=alert(1)>; remaining fields valid","POST /api/register with inert XSS marker","Send; retrieve account; open rendering surface; inspect DOM and execution","200","JSON exact success schema; payload not reflected in response","One user may be created; marker must render as text and never execute","Delete returned user ID","Not executed","","","","",""
"REG-AI-011","AI-generated","EP required-field omission","FR-01","Reject missing email","P0","No target account needed","name valid; email omitted; valid matching passwords","POST /api/register without email","Send; inspect error; compare user count","400","JSON error only; no id/password/SQL detail","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-012","AI-generated","EP null","FR-01","Reject null email","P1","User count baseline known","email=null; other fields valid","POST /api/register with null email","Send; inspect error; compare user count","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-013","AI-generated","EP type","FR-01","Reject non-string email","P1","User count baseline known","email=123; other fields valid","POST /api/register with numeric email","Send; inspect error; compare user count","400","JSON error only","No user created or coerced email","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-014","AI-generated","BVA empty","FR-01","Reject empty email","P0","User count baseline known","email=""""; other fields valid","POST /api/register with empty email","Send; inspect error; compare user count","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-015","AI-generated","EP email format","FR-01","Reject email without at-sign","P0","Email string absent","email=user.example.test; other fields valid","POST /api/register with invalid email format","Send; inspect error; verify value absent","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-016","AI-generated","BVA email local part","FR-01","Reject email with empty local part","P1","Email string absent","email=@example.test; other fields valid","POST /api/register with empty local part","Send; inspect error; verify value absent","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-017","AI-generated","BVA email domain","FR-01","Reject email with empty domain","P1","Email string absent","email=user@; other fields valid","POST /api/register with empty domain","Send; inspect error; verify value absent","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-018","AI-generated","EP normalization boundary","FR-01","Reject email padded with whitespace","P1","Trimmed and padded forms absent","email="" user@example.test ""; other fields valid","POST /api/register with surrounding spaces","Send; inspect response; query both exact and trimmed values","400","JSON error only","No account created under padded or silently altered identity","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-019","AI-generated","State transition / duplicate","FR-01","Reject duplicate registration without changing original account","P0","Create first account successfully and capture ID","Repeat exact email with a different strong password","POST /api/register for an existing email","1 Create account; 2 retry same email; 3 inspect response; 4 count email; 5 login with original password","400 or 409 (spec gap)","JSON error only; no new id; no DB/stack/password leakage","Exactly one account remains; original ID/role/password behavior unchanged","Delete original account ID","Not executed","","","","",""
"REG-AI-020","AI-generated","SEC-05 + invalid EP","SEC-05, FR-01","Reject SQL-injection-shaped email safely","P0","Seed users count and login verified","email=""' OR '1'='1'--""; other fields valid","POST /api/register with injection-shaped invalid email","Send; inspect error; verify no enumeration/change; re-login seed user","400","JSON error only; no SQL/schema/path details","No user created; no existing user altered/disclosed","None; reset only if dirty","Not executed","","","","",""
"REG-AI-021","AI-generated","EP required-field omission","FR-01","Reject missing password","P0","Unique email absent","password omitted; confirmation present; name/email valid","POST /api/register without password","Send; inspect error; verify email absent","400","JSON error only; no id","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-022","AI-generated","EP null","FR-01","Reject null password","P0","Unique email absent","password=null; confirmation=null; name/email valid","POST /api/register with null password","Send; inspect error; verify email absent","400","JSON error only; raw password absent","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-023","AI-generated","EP type","FR-01","Reject non-string password","P1","Unique email absent","password=12345678; confirm_password=12345678","POST /api/register with numeric passwords","Send; inspect error; verify email absent","400","JSON error only","No user created or coerced password","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-024","AI-generated","BVA length below minimum","FR-01","Reject seven-character otherwise complex password","P0","Unique email absent","password=Aa1!abc (7); confirmation matches","POST /api/register","Count characters; send; inspect error; verify absent","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-025","AI-generated","BVA minimum length","FR-01","Accept eight-character strong password","P0","Unique email absent","password=Aa1!abcd (8); confirmation matches","POST /api/register","Count characters; send; inspect exact response; login","200","JSON exact success schema {message,id}; no password/token","One normal user created; login succeeds","Delete returned user ID","Not executed","","","","",""
"REG-AI-026","AI-generated","EP password composition","FR-01","Reject password without uppercase letter","P0","Unique email absent","password=aa1!abcd; confirmation matches","POST /api/register","Send; inspect error; verify email absent","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-027","AI-generated","EP password composition","FR-01","Reject password without lowercase letter","P0","Unique email absent","password=AA1!ABCD; confirmation matches","POST /api/register","Send; inspect error; verify email absent","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-028","AI-generated","EP password composition","FR-01","Reject password without digit","P0","Unique email absent","password=Aa!bcdef; confirmation matches","POST /api/register","Send; inspect error; verify email absent","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-029","AI-generated","EP password composition","FR-01","Reject password without special character","P0","Unique email absent","password=Aa1bcdef; confirmation matches","POST /api/register","Send; inspect error; verify email absent","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-030","AI-generated","EP allowed character set","FR-01","Reject password whose only special character is outside allowed set","P1","Unique email absent","password=Aa1#bcde; confirmation matches","POST /api/register","Send; inspect error; verify email absent","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-031","AI-generated","EP allowed special","FR-01","Accept strong password using ampersand from allowed set","P1","Unique email absent","password=Aa1&bcde; confirmation matches","POST /api/register","Send; inspect exact response; login","200","JSON exact success schema; no password","One normal user created; login succeeds","Delete returned user ID","Not executed","","","","",""
"REG-AI-032","AI-generated","EP required-field omission","FR-01","Reject missing password confirmation","P0","Unique email absent","valid password; confirm_password omitted","POST /api/register without confirmation","Send; inspect error; verify email absent","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-033","AI-generated","EP null","FR-01","Reject null password confirmation","P1","Unique email absent","valid password; confirm_password=null","POST /api/register","Send; inspect error; verify email absent","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-034","AI-generated","State/relational validation","FR-01","Reject mismatched password confirmation","P0","Unique email absent","password=Valid123!; confirm_password=Different123!","POST /api/register","Send; inspect error; verify email absent; attempt login must fail","400","JSON error only; neither password echoed","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-035","AI-generated","Malformed request / empty body","FR-01","Reject empty request body","P0","User count baseline known","Empty body with application/json","POST /api/register with no body","Send raw request; inspect response/content type; compare user count","400","Safe JSON error {error:string}; no stack/path/id","No user created","None; reset if dirty","Not executed","","","","",""
"REG-AI-036","AI-generated","Malformed JSON","FR-01","Reject truncated JSON without leaking parser internals","P0","User count baseline known","Raw body={""name"":""A""","POST /api/register application/json","Send raw truncated bytes; inspect full body/headers; send valid health request after","400","Safe structured JSON error; no HTML stack, source path or parser trace","No user created; service remains available","None","Not executed","","","","",""
"REG-AI-037","AI-generated","Schema top-level type","FR-01","Reject top-level JSON array","P1","User count baseline known","[{""name"":""A"",""email"":""a@example.test"",""password"":""Aa1!abcd"",""confirm_password"":""Aa1!abcd""}]","POST /api/register application/json","Send array; inspect error; compare user count","400","JSON error only","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-038","AI-generated","Content-type negative","FR-01","Reject JSON-looking body sent as text/plain","P1","Unique email absent","Valid JSON bytes; Content-Type text/plain","POST /api/register with wrong media type","Send; inspect status/content type; verify email absent","400 or 415 (spec gap)","Safe JSON error preferred; no success fields/internal detail","No user created","None; remove unexpected row/reset","Not executed","","","","",""
"REG-AI-039","AI-generated","Mass assignment / role escalation","SEC-03, SEC-06, FR-01","Prevent registration from assigning admin identity or chosen ID","P0","Unique email absent; admin users endpoint available","Valid fields plus role=admin,is_admin=true,id=1,permissions=[*]","POST /api/register with unexpected privilege fields","Send; inspect exact response; login; inspect JWT/admin users record","200 if unknown fields ignored; 400 if strict schema rejects","If accepted: exact success schema only; never echo privilege fields","At most one normal user; generated ID server-owned; role must not be admin","Delete returned user ID","Not executed","","","","",""
"REG-AI-040","AI-generated","SEC-01 + sensitive schema","SEC-01, FR-01","Store password non-plaintext and never expose credential material","P0","Controlled local DB inspection permitted; unique email absent","Valid account with distinctive password=Audit9!Secret; matching confirmation","POST /api/register then inspect response and controlled stored credential","1 Register; 2 inspect raw response; 3 inspect stored password representation; 4 login; 5 inspect admin API response","200","Exact {message,id}; password, confirmation, hash, salt, token, reset_token and role absent","Exactly one user; stored credential is salted hash not raw password; admin listing does not expose credential","Delete returned user ID","Not executed","","","","",""
