"ID","origin","technique","requirement/SEC reference","title","priority","preconditions","test data","request","execution steps","expected status","expected headers/schema/body","expected side effect","cleanup","actual result","PASS/FAIL","AI audit verdict","audit reasoning","bug ID","evidence link"
"PRD-AI-001","AI-generated","EP + exact schema + state transition","FR-12, FR-15, SEC-02, SEC-03","Create a valid product as admin and validate exact response and database side effect","P0","SQLite reset; admin JWT valid; category 1 exists; unique product name absent","name=HW06-Admin-Baseline,price=100000,description=baseline,imageUrl=https://example.test/p.png,category_id=1","POST /api/products with admin bearer JWT","Send; assert raw response; capture id; GET detail/list; compare fields and unrelated rows","200","application/json; exact keys message:string,id:positive integer; no extra/sensitive fields","Exactly one product created; retrievable by id; category and unrelated products unchanged","DELETE /api/products/:id with admin JWT; verify absence","Not executed","","","","",""
"PRD-AI-002","AI-generated","Authorization partition guest","FR-12, SEC-02","Reject valid product creation without JWT","P0","Category exists; unique marker absent","Valid five-field product body; no Authorization","POST /api/products without token","Send; assert auth response; GET list by unique marker","401","JSON error only; no created id/message/internal detail","No product created and product count unchanged","Delete unexpected ID/reset if dirty","Not executed","","","","",""
"PRD-AI-003","AI-generated","Authorization partition user","FR-12, SEC-03","Reject product creation by authenticated non-admin user","P0","Valid role=user JWT; category exists; unique marker absent","Valid body with unique user-role marker","POST /api/products with user bearer JWT","Send; assert forbidden; GET list by marker","403","JSON error only","No product created; user/category state unchanged","Delete unexpected ID with admin/reset","Not executed","","","","",""
"PRD-AI-004","AI-generated","Authentication negative","FR-12, SEC-02","Reject malformed or invalid-signature JWT","P0","Category exists; unique marker absent","Valid body; Authorization Bearer malformed.jwt.signature","POST /api/products","Send; assert authentication failure before validation/persistence","401 or 403 per standardized auth policy","JSON auth error only; no DB/stack/path","No product created","None/reset if dirty","Not executed","","","","",""
"PRD-AI-005","AI-generated","Authentication temporal BVA","FR-12, SEC-02","Reject correctly signed expired admin JWT","P0","Controlled token has role=admin and exp in past; category exists","Valid body; expired bearer JWT","POST /api/products","Generate expired token; send; verify marker absent","401 or 403 per standardized auth policy","JSON auth error only","No product created","None","Not executed","","","","",""
"PRD-AI-006","AI-generated","Role escalation / signature integrity","FR-12, SEC-02, SEC-03","Reject user JWT whose payload is edited to claim admin without valid signature","P0","Obtain valid user JWT; alter role claim without re-signing","Valid body; tampered token role=admin","POST /api/products","Send; assert signature rejection; inspect list/user role","401 or 403 per standardized auth policy","JSON auth error only; no product data","No product created; original user remains role=user","None","Not executed","","","","",""
"PRD-AI-007","AI-generated","Required-field omission","FR-15","Reject missing product name","P0","Admin JWT valid; category exists","price/description/imageUrl/category_id valid; name omitted","POST /api/products","Send; inspect error; verify no new product","400","JSON error only; no id","No product created","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-008","AI-generated","EP null","FR-15","Reject null product name","P0","Admin JWT valid; category exists","name=null; remaining fields valid","POST /api/products","Send; inspect error; verify no new product","400","JSON error only","No product created","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-009","AI-generated","EP type","FR-15","Reject non-string product name","P1","Admin JWT valid; category exists","name=12345; remaining fields valid","POST /api/products","Send; inspect error; verify no coercion/persistence","400","JSON error only","No product created","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-010","AI-generated","BVA empty","FR-15","Reject empty product name","P0","Admin JWT valid; category exists","name=""""; remaining fields valid","POST /api/products","Send; inspect error; verify absence","400","JSON error only","No product created","Delete unexpected ID/reset","Not executed","","","","",""
