ID,Screen,IA,Category,Check,Requirement or Heuristic Source,Preconditions,Test Steps,Expected Result,Status,Actual Result,Notes,Evidence,Bug ID or GitHub Issue
GUI-L-001,Login,IA-01,Content,Page title identifies the Login screen,Nielsen H1/H4/H8; FR-21–FR-24 — https://www.nngroup.com/articles/ten-usability-heuristics/,Logged out; open /login,Inspect visible page title and document heading,PASS if exactly one h1 identifies the page as Đăng nhập; otherwise FAIL,,,,,
GUI-L-002,Login,IA-01,Language consistency,All labels and actions use consistent Vietnamese,Nielsen H2/H4; WCAG 2.2 SC 3.1.1 — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/WCAG22/Understanding/,Login page open,"Read heading, labels, links, and submit action",PASS if uI is consistently Vietnamese except accepted technical terms; otherwise FAIL,,,,,
GUI-L-003,Login,IA-01,Layout,Login card is visually aligned and does not overlap,Nielsen H1/H4/H8; FR-21–FR-24 — https://www.nngroup.com/articles/ten-usability-heuristics/,Desktop viewport,"Inspect card, fields, links, and footer",PASS if all elements align with adequate spacing and no overlap; otherwise FAIL,,,,,
GUI-L-004,Login,IA-01,Responsive,Login remains usable at 320 px width,"WCAG 2.2 SC 1.4.4, 1.4.10 — https://www.w3.org/WAI/WCAG22/Understanding/",Set viewport to 320×640,Inspect and operate the complete form,PASS if no clipping or horizontal page scroll; targets remain usable; otherwise FAIL,,,,,
GUI-L-005,Login,IA-01,Contrast,"Text, links, borders, and button meet WCAG AA contrast","WCAG 2.2 SC 1.4.1, 1.4.3, 1.4.11 — https://www.w3.org/WAI/WCAG22/Understanding/",Login page open,Measure key foreground/background combinations,PASS if normal text ≥4.5:1 and meaningful UI components ≥3:1; otherwise FAIL,,,,,
GUI-L-006,Login,IA-01,Target size,Interactive controls have usable pointer targets,WCAG 2.2 SC 2.5.8 — https://www.w3.org/WAI/WCAG22/Understanding/,Login page open,"Measure fields, links, and submit target areas",PASS if primary controls are at least 44×44 CSS px or equivalently usable; otherwise FAIL,,,,,
GUI-L-007,Login,IA-02,Email type,Email control uses native email semantics,"WCAG 2.2 SC 1.3.1, 2.4.6, 3.3.2; WAI Forms — https://www.w3.org/WAI/tutorials/forms/labels/",Login page open,Inspect control semantics and enter malformed email,PASS if input type is email and native validation rejects malformed format; otherwise FAIL,,,,,
GUI-L-008,Login,IA-02,GUI / Visual,Password value is concealed,Nielsen H1/H4/H8; FR-21–FR-24 — https://www.nngroup.com/articles/ten-usability-heuristics/,Login page open,Type a password and observe its rendering,PASS if control uses password type and characters are masked; otherwise FAIL,,,,,
GUI-L-009,Login,IA-02,Required indicators,Required fields show an asterisk beside the label,"WCAG 2.2 SC 1.3.1, 2.4.6, 3.3.2; WAI Forms — https://www.w3.org/WAI/tutorials/forms/labels/",Login page open,Inspect Email and Password labels,PASS if both mandatory labels include a visible required marker; otherwise FAIL,,,,,
GUI-L-010,Login,IA-02,Label association,Labels are programmatically associated with inputs,"WCAG 2.2 SC 1.3.1, 2.4.6, 3.3.2; WAI Forms — https://www.w3.org/WAI/tutorials/forms/labels/",Login page open,Click labels and inspect accessible names,PASS if each label focuses its input and supplies the accessible name; otherwise FAIL,,,,,
GUI-L-011A,Login,IA-02,Empty submission,Empty required fields show visible form validation,"WCAG 2.2 SC 3.3.1, 3.3.3; WAI Forms; GOV.UK Error message — https://www.w3.org/WAI/tutorials/forms/notifications/ | https://design-system.service.gov.uk/components/error-message/",Login page open,Submit without entering values and inspect the visible form response,PASS if visible validation identifies both required fields near their controls; otherwise FAIL,,,,,
GUI-L-013,Login,IA-02,Keyboard order,Tab order follows top-to-bottom reading order,"WCAG 2.2 SC 2.1.1, 2.4.3, 2.4.7, 2.4.11 — https://www.w3.org/WAI/WCAG22/Understanding/",Login page open; keyboard only,Press Tab from browser chrome through all controls,"PASS if focus order is Email, Password, Forgot password, Submit, Register; otherwise FAIL",,,,,
GUI-L-014,Login,IA-02,Focus visibility,Every interactive element has visible keyboard focus,"WCAG 2.2 SC 2.1.1, 2.4.3, 2.4.7, 2.4.11 — https://www.w3.org/WAI/WCAG22/Understanding/",Login page open; keyboard only,Tab through every control,"PASS if a persistent, high-contrast focus indicator is visible; otherwise FAIL",,,,,
GUI-L-020,Login,IA-02,Password manager,Controls expose correct autocomplete semantics,"WCAG 2.2 SC 1.3.5, 3.3.8; GOV.UK Text input — https://design-system.service.gov.uk/components/text-input/",Login page open with password manager available,Inspect autocomplete and try saved-credential fill,PASS if email and current password can be filled into the correct fields; otherwise FAIL,,,,,
GUI-L-021,Login,IA-01,Zoom,Form remains usable at 200% browser zoom,"WCAG 2.2 SC 1.4.4, 1.4.10 — https://www.w3.org/WAI/WCAG22/Understanding/",Desktop viewport,Set zoom to 200% and operate form,PASS if no content or focus indicator is clipped; reflow remains usable; otherwise FAIL,,,,,
GUI-L-023,Login,IA-01,Exploratory — RTL,Layout remains coherent under right-to-left direction,Exploratory — no explicit SUT requirement,Set document direction to RTL,"Inspect order, alignment, clipping, and focus sequence","PASS if no text, control, or focus indicator overlaps or becomes unreachable; otherwise FAIL",,,,,
GUI-L-024A,Login,IA-04,Duplicate submission,Repeated submit shows a clear pending state,Nielsen H1; WCAG 2.2 SC 4.1.3; ARIA APG Alert — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/ARIA/apg/patterns/alert/,Valid or invalid credentials entered,"Submit once, then immediately double-click the button and press Enter repeatedly",PASS if the submit control visibly indicates a pending state and prevents repeated activation; otherwise FAIL,,,,,
GUI-O-002A,Order History,IA-01,Required data,"Each visible order row includes ID, date, total, and current status","WCAG 2.2 SC 1.3.1, 2.4.6, 3.3.2; WAI Forms — https://www.w3.org/WAI/tutorials/forms/labels/",Account has at least one order,Inspect every displayed order row,PASS if every row visibly contains all four FR-11 fields; otherwise FAIL,,,,,
